Nom;Pays;Ville;Quartier;Métier;Numéro;Format international;WhatsApp possible;État;Notes
ACHILLE'S COUTURE;Bénin;Abomey-Calavi;;Couture;01 97 27 71 59;+2290197277159;oui;à contacter;
2AF CREATION;Bénin;Abomey-Calavi;;Couture;01 66 95 87 70;+2290166958770;oui;à contacter;
ADEBISSI FASHION;Bénin;Cotonou;;Couture;01 97 07 55 03;+2290197075503;oui;à contacter;
ADONAI COUTURE;Bénin;Abomey-Calavi;;Couture;01 96 50 11 06;+2290196501106;oui;à contacter;
ADS STYLE ET MODE;Bénin;Cotonou;;Couture;01 97 75 30 20;+2290197753020;oui;à contacter;
AFLYNE COUTURE;Bénin;Cotonou;;Couture;01 99 31 19 93;+2290199311993;oui;à contacter;
AFRIQUE COUTURE ET BRODERIE;Bénin;Cotonou;;Couture;01 97 60 23 88;+2290197602388;oui;à contacter;
AIGUILLE MAGIQUE;Bénin;Cotonou;;Couture;01 94 31 31 75;+2290194313175;oui;à contacter;
AMELIE COUTURE;Bénin;Cotonou;;Couture;01 21 35 09 79;+2290121350979;non (fixe);à contacter;
AMEN MIRACLE;Bénin;Cotonou;;Couture;01 95 95 29 09;+2290195952909;oui;à contacter;
ANSEMCO GENERAL FASHION;Bénin;Cotonou;;Couture;01 67 00 75 20;+2290167007520;oui;à contacter;
ANTONIO'S COUTURE;Bénin;Abomey-Calavi;;Couture;01 67 60 50 20;+2290167605020;oui;à contacter;
ATELIER DE COUTURE MIKPE;Bénin;Abomey-Calavi;;Couture;01 65 45 74 87;+2290165457487;oui;à contacter;
ATELIER JE SUIS;Bénin;Cotonou;;Couture;01 97 89 65 58;+2290197896558;oui;à contacter;
AUX CISEAUX D'OR;Bénin;Cotonou;;Couture;01 21 31 40 77;+2290121314077;non (fixe);à contacter;
AVS CONFECTION;Bénin;Cotonou;;Couture;01 97 69 88 24;+2290197698824;oui;à contacter;
AZAMAR HAUTE COUTURE;Bénin;Abomey-Calavi;;Couture;01 97 44 70 84;+2290197447084;oui;à contacter;
AZIMUTE COUTURE;Bénin;Cotonou;;Couture;01 97 21 51 44;+2290197215144;oui;à contacter;
BEAUCHARME CREATION;Bénin;Abomey-Calavi;;Couture;01 41 51 30 25;+2290141513025;oui;à contacter;
BEL ENFANT FASHION;Bénin;Cotonou;;Couture;01 96 86 44 44;+2290196864444;oui;à contacter;
BENI-COUTURE MEDESSI;Bénin;Abomey-Calavi;;Couture;01 66 04 66 64;+2290166046664;oui;à contacter;
BERN'S COUTURE;Bénin;Abomey-Calavi;;Couture;01 66 39 21 37;+2290166392137;oui;à contacter;
BESK OT FASHION;Bénin;Cotonou;;Couture;01 96 56 49 66;+2290196564966;oui;à contacter;
BOSS COUTURE;Bénin;Abomey-Calavi;;Couture;01 60 40 34 57;+2290160403457;oui;à contacter;
BRODERIE AIGUILLE D'OR;Bénin;Cotonou;;Couture;01 97 98 17 53;+2290197981753;oui;à contacter;
BRODERIE MODERNE;Bénin;Cotonou;;Couture;01 21 33 25 19;+2290121332519;non (fixe);à contacter;
ANASTASIA FASHION (formation couture);Bénin;Cotonou;;Couture;01 66 41 34 27;+2290166413427;oui;à contacter;
CHAM CLASSIQUE;Bénin;Abomey-Calavi;;Couture;01 94 56 39 37;+2290194563937;oui;à contacter;
CHEZ MAMAN TIDJANI;Bénin;Cotonou;;Couture;01 96 11 27 28;+2290196112728;oui;à contacter;
CHEZ MAWUGNON;Bénin;Abomey-Calavi;;Couture;01 94 96 94 49;+2290194969449;oui;à contacter;
CHEZ NELL;Bénin;Cotonou;;Couture;01 95 06 76 06;+2290195067606;oui;à contacter;
CHEZ TAO COUTURE;Bénin;Cotonou;;Couture;01 67 44 38 78;+2290167443878;oui;à contacter;
COLETTE FASHION MODE;Bénin;Cotonou;;Couture;01 97 26 71 30;+2290197267130;oui;à contacter;
COLLECTION MAC;Bénin;Cotonou;;Couture;01 97 26 84 26;+2290197268426;oui;à contacter;
CONFIANCE HAUTE COUTURE;Bénin;Abomey-Calavi;;Couture;01 60 24 52 04;+2290160245204;oui;à contacter;
COUTURE COUPE AFRICAINE ET EUROPEENNE;Bénin;Cotonou;;Couture;01 94 83 20 20;+2290194832020;oui;à contacter;
COUTURE CREATION;Bénin;Abomey-Calavi;;Couture;01 97 06 29 14;+2290197062914;oui;à contacter;
COUTURE MODERNE;Bénin;Cotonou;;Couture;01 97 78 80 77;+2290197788077;oui;à contacter;
CREATION ANTONIO;Bénin;Godomey;;Couture;01 97 13 60 78;+2290197136078;oui;à contacter;
CREATION LIDIA;Bénin;Cotonou;;Couture;01 21 07 55 32;+2290121075532;non (fixe);à contacter;
CYRILL'OS CREATION;Bénin;Abomey-Calavi;;Couture;01 97 66 18 38;+2290197661838;oui;à contacter;
COUTURE PLUS;Bénin;Cotonou;;Couture;01 95 90 03 36;+2290195900336;oui;à contacter;
DANIE CROCHET;Bénin;Cocotomey;;Couture;01 52 69 49 31;+2290152694931;oui;à contacter;
DANIELLE MOCKTAR DRESS MAKER;Bénin;Cotonou;;Couture;01 63 99 99 99;+2290163999999;oui;à contacter;
DAS COUTURE;Bénin;Cotonou;;Couture;01 95 43 71 09;+2290195437109;oui;à contacter;
DELALIE FASHION;Bénin;Cotonou;;Couture;01 67 52 21 15;+2290167522115;oui;à contacter;
DH COLLECTION;Bénin;Abomey-Calavi;;Couture;01 66 84 81 42;+2290166848142;oui;à contacter;
DIVAS D'AFRIQUE;Bénin;Cotonou;;Couture;01 95 90 26 64;+2290195902664;oui;à contacter;
DIVINE COUTURE;Bénin;Abomey-Calavi;;Couture;01 56 80 80 47;+2290156808047;oui;à contacter;
DJIDJOHO COUTURE;Bénin;Cotonou;;Couture;01 66 26 27 44;+2290166262744;oui;à contacter;
DOGUESIMI;Bénin;Abomey-Calavi;;Couture;01 90 00 05 04;+2290190000504;oui;à contacter;
DON DE DIEU;Bénin;Abomey-Calavi;;Couture;01 60 37 80 90;+2290160378090;oui;à contacter;
DONA COUTURE;Bénin;Cotonou;;Couture;01 97 08 33 65;+2290197083365;oui;à contacter;
DOUDOU COPA;Bénin;Cotonou;;Couture;01 97 77 63 91;+2290197776391;oui;à contacter;
DUDEDJI COUTURE;Bénin;Abomey-Calavi;;Couture;01 97 84 44 89;+2290197844489;oui;à contacter;
BRIM CREATION;Bénin;Cotonou;Houéyiho 1;Couture;;;numéro absent;à contacter;
NAIS COUTURE;Bénin;Cotonou;;Couture;01 61 80 74 87;+2290161807487;oui;à contacter;
La Brasserie (Institut Français);Bénin;Cotonou;;Restaurant;01 65 97 20 57;+2290165972057;oui;à contacter;
La Savane;Bénin;Cotonou;;Restaurant;01 61 79 22 09;+2290161792209;oui;à contacter;
3.14 Atelier;Bénin;Cotonou;;Restaurant;01 98 31 43 14;+2290198314314;oui;à contacter;
AIRPORT Terrasse;Bénin;Cotonou;;Restaurant;01 54 15 11 11;+2290154151111;oui;à contacter;
AL-Meida Store;Bénin;Cotonou;;Restaurant;01 65 81 81 81;+2290165818181;oui;à contacter;
Allo Sandwich Agla 2;Bénin;Cotonou;Agla;Restaurant;01 69 12 22 22;+2290169122222;oui;à contacter;
Attiéké 2.0;Bénin;Cotonou;;Restaurant;01 67 43 47 02;+2290167434702;oui;à contacter;
B&B Chez Rita;Bénin;Cotonou;;Restaurant;01 94 81 53 53;+2290194815353;oui;à contacter;
BAMBOO NUMERIK;Bénin;Cotonou;;Restaurant;01 51 67 66 25;+2290151676625;oui;à contacter;
BAR-RESTAURANT 16 AVRIL;Bénin;Cotonou;;Restaurant;01 51 51 41 73;+2290151514173;oui;à contacter;
Bar Restaurant VIP Winner Club;Bénin;Cotonou;;Restaurant;01 94 89 99 94;+2290194899994;oui;à contacter;
Bar-Restaurant SuperNova;Bénin;Cotonou;;Restaurant;01 98 16 16 16;+2290198161616;oui;à contacter;
Beach Life (plage Erevan);Bénin;Cotonou;Bord de mer;Restaurant;01 97 57 02 06;+2290197570206;oui;à contacter;
Binan Food Restaurant & Cafétéria;Bénin;Cotonou;;Restaurant;01 60 55 75 12;+2290160557512;oui;à contacter;
Boulangerie-Pâtisserie Pain Ivoir;Bénin;Cotonou;;Pâtisserie;01 97 48 37 30;+2290197483730;oui;à contacter;
CARPE DIEM Bar à vin & Restaurant;Bénin;Cotonou;;Restaurant;01 69 69 72 02;+2290169697202;oui;à contacter;
Maquis Bar No Problem;Bénin;Cotonou;;Restaurant;01 96 62 91 99;+2290196629199;oui;à contacter;
Maquis Bar Le Prestige;Bénin;Cotonou;;Restaurant;01 47 71 39 01;+2290147713901;oui;à contacter;
Maquis Le Kédjénou;Bénin;Cotonou;Abokicodji Lazare;Restaurant;01 60 02 29 29;+2290160022929;oui;à contacter;
Maquis La Résidence;Bénin;Cotonou;;Restaurant;01 21 31 39 97;+2290121313997;non (fixe);à contacter;
Restaurant Koutonou;Bénin;Cotonou;;Restaurant;01 98 71 34 34;+2290198713434;oui;à contacter;
BAR-RESTO LA SOURCE;Bénin;Godomey;;Restaurant;01 66 99 56 14;+2290166995614;oui;à contacter;
CHEZ JP CHAWARMA;Bénin;Cocotomey;;Restaurant;01 96 15 86 42;+2290196158642;oui;à contacter;
Aube Nouvelle Restaurant;Bénin;Abomey-Calavi;;Restaurant;01 50 00 02 95;+2290150000295;oui;à contacter;
B & S Restaurant - Pâtisserie;Bénin;Abomey-Calavi;;Pâtisserie;01 91 02 60 60;+2290191026060;oui;à contacter;
BALMAS LOUNGE BAR;Bénin;Abomey-Calavi;;Restaurant;01 61 10 27 20;+2290161102720;oui;à contacter;
BISTRO PISCINE;Bénin;Abomey-Calavi;;Restaurant;01 66 26 54 47;+2290166265447;oui;à contacter;
Bar Restaurant Pizzeria SALSA;Bénin;Abomey-Calavi;;Restaurant;01 67 18 25 25;+2290167182525;oui;à contacter;
Bar restaurant G20;Bénin;Abomey-Calavi;;Restaurant;01 97 65 26 68;+2290197652668;oui;à contacter;
Bar-Restaurant l'Etoilé;Bénin;Abomey-Calavi;;Restaurant;01 53 98 82 72;+2290153988272;oui;à contacter;
Bar Infinity;Bénin;Porto-Novo;;Restaurant;01 51 35 51 96;+2290151355196;oui;à contacter;
Bar Restaurant Les Orchidées You And Me;Bénin;Porto-Novo;;Restaurant;01 98 10 16 92;+2290198101692;oui;à contacter;
AfricanFoodseum;Bénin;Porto-Novo;;Restaurant;01 62 74 76 28;+2290162747628;oui;à contacter;
BLUE MOON BAR & GRILL;Bénin;Ouidah;;Restaurant;01 95 53 50 51;+2290195535051;oui;à contacter;
Bar Restaurant Chez Bio;Bénin;Bohicon;;Restaurant;01 97 52 01 52;+2290197520152;oui;à contacter;
Bar Restaurant Yam plus;Bénin;Bohicon;;Restaurant;01 97 29 50 58;+2290197295058;oui;à contacter;
Bar restaurant Campasso;Bénin;Bohicon;;Restaurant;01 95 86 37 95;+2290195863795;oui;à contacter;
Ad'Or Restaurant;Bénin;Parakou;;Restaurant;01 98 03 80 88;+2290198038088;oui;à contacter;
BAR-RESTAURANT LE ROI;Bénin;Parakou;;Restaurant;01 65 18 18 98;+2290165181898;oui;à contacter;
CAFE BAR RESTAURANT AUTHENTIK;Bénin;Parakou;;Restaurant;01 97 09 45 19;+2290197094519;oui;à contacter;
CASA NOVA KOMI;Bénin;Parakou;;Restaurant;01 95 16 61 62;+2290195166162;oui;à contacter;
Bar Restaurant Chez Adjovi;Bénin;Lokossa;;Restaurant;01 97 67 66 04;+2290197676604;oui;à contacter;
Bar Restaurant Grand Coin;Bénin;Kandi;;Restaurant;01 97 52 66 69;+2290197526669;oui;à contacter;
Bar Restaurant Tchenawa;Bénin;Kandi;;Restaurant;01 64 39 20 00;+2290164392000;oui;à contacter;
CHEZ MARINA ALLADA;Bénin;Allada;;Restaurant;01 65 92 22 19;+2290165922219;oui;à contacter;
Bar Restaurant OLAKOUNLE;Bénin;Adjarra;;Restaurant;01 67 58 00 06;+2290167580006;oui;à contacter;
Bar Resto Sous les Cocotiers;Bénin;Tori-Bossito;;Restaurant;01 67 21 70 17;+2290167217017;oui;à contacter;
Bar Café Bodarima;Bénin;Natitingou;;Restaurant;01 94 35 37 36;+2290194353736;oui;à contacter;
Bar Le PENIEL;Bénin;Dassa-Zoumé;;Restaurant;01 97 00 81 18;+2290197008118;oui;à contacter;
Bar Maquis Akouna 2;Bénin;N'Dali;;Restaurant;01 96 94 93 23;+2290196949323;oui;à contacter;
Bénin Restaurant;Bénin;Malanville;;Restaurant;01 95 20 69 85;+2290195206985;oui;à contacter;
Belle Princesse;Bénin;Nikki;;Restaurant;01 95 90 70 93;+2290195907093;oui;à contacter;
Bar Restaurant La Fiesta;Bénin;Abomey;;Restaurant;01 62 58 74 14;+2290162587414;oui;à contacter;
Abomey Events;Bénin;Abomey;;Restaurant;01 62 10 51 51;+2290162105151;oui;à contacter;
BAR-RESTAU-TERRASSE LA SIGNATURE;Bénin;Covè;;Restaurant;01 96 54 72 44;+2290196547244;oui;à contacter;
Bar Restaurant Le Prestige;Bénin;Cobly;;Restaurant;01 67 12 42 60;+2290167124260;oui;à contacter;
ABA GROUP INTERNATIONAL;Togo;Lomé;Adidogomé;Couture;90 58 99 21;+22890589921;oui;à contacter;
ABRAHAM COUPE ET STYLE;Togo;Lomé;Kégué;Couture;92 46 92 11;+22892469211;oui;à contacter;
AFRO-LADY DESIGN;Togo;Lomé;Avédji;Couture;90 97 60 97;+22890976097;oui;à contacter;
AICHA FASHION;Togo;Lomé;Gbadago;Couture;22 38 60 26;+22822386026;non (fixe);à contacter;
ALIDA COUTURE / NOUVELLE GENERATION;Togo;Lomé;Agoè Légbassito;Couture;91 52 24 12;+22891522412;oui;à contacter;
AMENOUVEVE HAUTE COUTURE;Togo;Lomé;Léo 2000;Couture;97 78 87 54;+22897788754;oui;à contacter;
AMID DISIGN;Togo;Lomé;Hanoukopé;Couture;22 22 16 95;+22822221695;non (fixe);à contacter;
ANATA-DEDE;Togo;Lomé;Adidogomé Aménopé;Couture;97 85 71 85;+22897857185;oui;à contacter;
ANGEL'S;Togo;Lomé;Bè Klikamé;Couture;90 04 17 71;+22890041771;oui;à contacter;
ATELIER JESUS EST LA SOLUTION;Togo;Lomé;Agoè Kétidjan;Couture;90 83 21 81;+22890832181;oui;à contacter;
ATELIER KEVI;Togo;Lomé;Agbalépédo;Couture;90 13 77 68;+22890137768;oui;à contacter;
ATELIER MOAM;Togo;Lomé;Djidjolé;Couture;90 04 45 65;+22890044565;oui;à contacter;
BEREKIA COUTURE;Togo;Lomé;Gblinkomé;Couture;91 07 42 25;+22891074225;oui;à contacter;
BIG BEN;Togo;Lomé;Kagomé;Couture;91 34 09 22;+22891340922;oui;à contacter;
BISSO FASHION;Togo;Lomé;Agoè Assiyéyé;Couture;91 86 34 83;+22891863483;oui;à contacter;
BOUBAKAR COUTURE;Togo;Lomé;Hédzranawoé;Couture;90 74 96 79;+22890749679;oui;à contacter;
BRIYAN COUTURE;Togo;Lomé;Tokoin Casablanca;Couture;22 21 42 32;+22822214232;non (fixe);à contacter;
CHEKINA COUTURE;Togo;Lomé;Agoènyivé;Couture;90 55 23 33;+22890552333;oui;à contacter;
CHEZ TESSOU;Togo;Lomé;Akodesséwa;Couture;92 52 17 44;+22892521744;oui;à contacter;
CHIC MAILLOT TOGO;Togo;Lomé;Hountigomé;Couture;90 70 01 48;+22890700148;oui;à contacter;
CHIC ME;Togo;Lomé;Djidjolé;Couture;91 52 83 39;+22891528339;oui;à contacter;
CHRYSKEN MODE COUTURE;Togo;Lomé;Kodjoviakopé;Couture;22 22 15 59;+22822221559;non (fixe);à contacter;
CLARA COUTURE;Togo;Lomé;;Couture;22 21 52 62;+22822215262;non (fixe);à contacter;
COOBEN STYLE;Togo;Lomé;Adidogomé;Couture;91 23 09 23;+22891230923;oui;à contacter;
COOPER STYLE;Togo;Lomé;Gbossimé;Couture;99 14 86 87;+22899148687;oui;à contacter;
COUPE ZOUYIGBE;Togo;Lomé;Djidjolé;Couture;93 61 31 06;+22893613106;oui;à contacter;
COUTURE DAME LE SANG DE JESUS;Togo;Lomé;Agoè Gbonvé;Couture;98 89 70 50;+22898897050;oui;à contacter;
COUTURE DIEUDONNE;Togo;Lomé;;Couture;92 33 04 54;+22892330454;oui;à contacter;
COUTURE ERSYGO;Togo;Lomé;;Couture;90 32 73 00;+22890327300;oui;à contacter;
COUTURE GRACE DE DIEU;Togo;Lomé;;Couture;90 91 04 33;+22890910433;oui;à contacter;
COUTURE IN CHA ALLAHOU;Togo;Lomé;;Couture;91 71 48 25;+22891714825;oui;à contacter;
COUTURE INCHALLAH;Togo;Lomé;;Couture;90 11 77 74;+22890117774;oui;à contacter;
COUTURE JEHOVAH-NISSI;Togo;Lomé;;Couture;91 51 38 74;+22891513874;oui;à contacter;
COUTURE MA TRIOMPHE;Togo;Lomé;;Couture;91 93 17 26;+22891931726;oui;à contacter;
COUTURE MAWULI;Togo;Lomé;;Couture;99 89 82 85;+22899898285;oui;à contacter;
COUTURE MAWULOLO;Togo;Lomé;;Couture;90 76 03 86;+22890760386;oui;à contacter;
COUTURE NOUVELLE CREATION;Togo;Lomé;;Couture;90 04 77 29;+22890047729;oui;à contacter;
COUTURE PIERRE ANGULAIRE;Togo;Lomé;;Couture;92 15 34 76;+22892153476;oui;à contacter;
COUTURE ST LEON;Togo;Lomé;;Couture;90 26 91 53;+22890269153;oui;à contacter;
COUTURE TANTY ODILE;Togo;Lomé;;Couture;90 17 56 60;+22890175660;oui;à contacter;
COUTURE VERONIQUE;Togo;Lomé;;Couture;90 17 75 24;+22890177524;oui;à contacter;
CREATION AGBERE;Togo;Lomé;;Couture;90 93 47 91;+22890934791;oui;à contacter;
